hour,minute,desktop,smartphone,tablet,other mobile
8, 7 , 479 , 82 , 161 , 6 
8, 8 , 492 , 89 , 152 , 8 
8, 9 , 502 , 79 , 158 , 7 
8, 10 , 491 , 87 , 154 , 7 
8, 11 , 490 , 82 , 161 , 8 
8, 12 , 501 , 73 , 153 , 9 
8, 13 , 533 , 79 , 163 , 7 
8, 14 , 519 , 78 , 155 , 8 
8, 15 , 552 , 76 , 153 , 8 
8, 16 , 531 , 78 , 153 , 6 
8, 17 , 529 , 73 , 160 , 9 
8, 18 , 515 , 75 , 157 , 7 
8, 19 , 508 , 72 , 158 , 9 
8, 20 , 511 , 74 , 148 , 9 
8, 21 , 512 , 74 , 150 , 11 
8, 22 , 508 , 69 , 148 , 9 
8, 23 , 547 , 68 , 151 , 9 
8, 24 , 517 , 69 , 143 , 8 
8, 25 , 517 , 69 , 155 , 8 
8, 26 , 535 , 64 , 151 , 8 
8, 27 , 550 , 68 , 150 , 7 
8, 28 , 538 , 68 , 142 , 8 
8, 29 , 515 , 67 , 144 , 8 
8, 30 , 513 , 70 , 140 , 9 
8, 31 , 519 , 65 , 142 , 8 
8, 32 , 498 , 63 , 147 , 8 
8, 33 , 512 , 69 , 137 , 10 
8, 34 , 510 , 66 , 134 , 9 
8, 35 , 509 , 67 , 121 , 9 
8, 36 , 520 , 66 , 136 , 8 
8, 37 , 509 , 66 , 134 , 8 
8, 38 , 504 , 62 , 131 , 8 
8, 39 , 517 , 63 , 140 , 6 
8, 40 , 540 , 59 , 128 , 6 
8, 41 , 512 , 60 , 129 , 8 
8, 42 , 518 , 65 , 132 , 7 
8, 43 , 519 , 61 , 131 , 8 
8, 44 , 544 , 66 , 126 , 8 
8, 45 , 553 , 64 , 125 , 8 
8, 46 , 553 , 67 , 137 , 9 
8, 47 , 538 , 69 , 122 , 7 
8, 48 , 520 , 62 , 120 , 7 
8, 49 , 523 , 63 , 121 , 8 
8, 50 , 522 , 57 , 131 , 7 
8, 51 , 558 , 61 , 128 , 8 
8, 52 , 536 , 60 , 120 , 9 
8, 53 , 558 , 64 , 135 , 7 
8, 54 , 530 , 58 , 138 , 8 
8, 55 , 556 , 61 , 128 , 8 
8, 56 , 534 , 56 , 121 , 6 
8, 57 , 549 , 55 , 111 , 10 
