hour,minute,desktop,smartphone,tablet,other
7, 36 , 102 , 52 , 38 , 8 
7, 37 , 105 , 47 , 33 , 9 
7, 38 , 124 , 48 , 39 , 7 
7, 39 , 121 , 43 , 40 , 7 
7, 40 , 110 , 54 , 33 , 7 
7, 41 , 114 , 45 , 35 , 9 
7, 42 , 109 , 48 , 39 , 6 
7, 43 , 104 , 43 , 39 , 7 
7, 44 , 112 , 39 , 41 , 8 
7, 45 , 112 , 45 , 42 , 7 
7, 46 , 108 , 43 , 37 , 8 
7, 47 , 107 , 44 , 36 , 8 
7, 48 , 95 , 42 , 36 , 10 
7, 49 , 91 , 37 , 40 , 8 
7, 50 , 104 , 40 , 37 , 8 
7, 51 , 113 , 40 , 37 , 9 
7, 52 , 108 , 41 , 35 , 8 
7, 53 , 102 , 43 , 37 , 7 
7, 54 , 103 , 39 , 35 , 8 
7, 55 , 94 , 38 , 39 , 7 
7, 56 , 93 , 39 , 42 , 7 
7, 57 , 101 , 44 , 40 , 8 
7, 58 , 95 , 42 , 42 , 7 
7, 59 , 97 , 46 , 41 , 7 
8, -   , 104 , 49 , 37 , 9 
8, 1 , 127 , 46 , 38 , 6 
8, 2 , 142 , 44 , 34 , 5 
8, 3 , 130 , 43 , 34 , 7 
8, 4 , 133 , 44 , 38 , 8 
8, 5 , 131 , 44 , 44 , 9 
8, 6 , 124 , 46 , 35 , 9 
8, 7 , 106 , 42 , 41 , 6 
8, 8 , 104 , 43 , 40 , 8 
8, 9 , 103 , 35 , 35 , 7 
8, 10 , 110 , 43 , 40 , 9 
8, 11 , 104 , 39 , 41 , 8 
8, 12 , 101 , 39 , 40 , 7 
8, 13 , 97 , 37 , 38 , 7 
8, 14 , 105 , 38 , 40 , 6 
8, 15 , 117 , 33 , 39 , 7 
8, 16 , 106 , 35 , 37 , 6 
8, 17 , 102 , 38 , 40 , 6 
8, 18 , 96 , 38 , 36 , 7 
8, 19 , 94 , 36 , 36 , 7 
8, 20 , 93 , 38 , 39 , 7 
8, 21 , 94 , 37 , 38 , 8 
8, 22 , 89 , 36 , 41 , 6 
8, 23 , 126 , 35 , 36 , 6 
8, 24 , 90 , 37 , 31 , 6 
8, 25 , 97 , 40 , 36 , 7 
8, 26 , 95 , 41 , 34 , 8 
8, 27 , 91 , 44 , 36 , 6 
8, 28 , 95 , 39 , 37 , 7 
8, 29 , 83 , 36 , 36 , 7 
8, 30 , 92 , 35 , 32 , 8 
8, 31 , 99 , 36 , 31 , 8 
8, 32 , 106 , 42 , 35 , 8 
8, 33 , 102 , 40 , 37 , 8 
8, 34 , 102 , 37 , 38 , 7 
8, 35 , 103 , 37 , 35 , 7 
8, 36 , 93 , 36 , 37 , 7 
8, 37 , 89 , 39 , 38 , 6 
8, 38 , 94 , 35 , 38 , 6 
8, 39 , 102 , 40 , 37 , 6 
8, 40 , 113 , 45 , 38 , 6 
8, 41 , 101 , 39 , 38 , 8 
8, 42 , 91 , 37 , 36 , 6 
8, 43 , 90 , 38 , 37 , 7 
8, 44 , 88 , 35 , 36 , 9 
8, 45 , 96 , 31 , 36 , 6 
8, 46 , 96 , 38 , 37 , 6 
8, 47 , 92 , 38 , 37 , 7 
8, 48 , 88 , 40 , 43 , 6 
8, 49 , 95 , 41 , 37 , 5 
8, 50 , 94 , 38 , 43 , 5 
8, 51 , 97 , 37 , 40 , 8 
8, 52 , 98 , 40 , 39 , 8 
8, 53 , 99 , 37 , 33 , 8 
8, 54 , 107 , 39 , 42 , 8 
8, 55 , 103 , 41 , 37 , 6 
8, 56 , 100 , 36 , 40 , 8 
8, 57 , 98 , 38 , 39 , 7 
8, 58 , 98 , 35 , 40 , 8 
8, 59 , 90 , 38 , 35 , 6 
9, -   , 100 , 39 , 41 , 7 
9, 1 , 112 , 37 , 44 , 6 
9, 2 , 123 , 41 , 38 , 6 
9, 3 , 116 , 41 , 42 , 7 
9, 4 , 124 , 40 , 44 , 5 
9, 5 , 126 , 39 , 45 , 8 
9, 6 , 117 , 42 , 48 , 6 
9, 7 , 114 , 40 , 46 , 6 
9, 8 , 112 , 42 , 45 , 7 
9, 9 , 105 , 40 , 41 , 6 
9, 10 , 112 , 40 , 48 , 7 
9, 11 , 105 , 41 , 42 , 7 
9, 12 , 99 , 42 , 41 , 7 
9, 13 , 105 , 46 , 46 , 8 
9, 14 , 110 , 46 , 49 , 8 
9, 15 , 111 , 43 , 42 , 7 
9, 16 , 105 , 48 , 49 , 6 
