hour,minute,desktop,smartphone,tablet,other mobile
5, 20 , 188 , 150 , 105 , 104 , 12 
5, 21 , 192 , 139 , 102 , 100 , 12 
5, 22 , 186 , 144 , 99 , 100 , 11 
5, 23 , 180 , 145 , 97 , 102 , 10 
5, 24 , 184 , 138 , 94 , 101 , 12 
5, 25 , 192 , 137 , 100 , 105 , 13 
5, 26 , 194 , 138 , 100 , 98 , 12 
5, 27 , 207 , 158 , 96 , 103 , 11 
5, 28 , 185 , 144 , 99 , 101 , 10 
5, 29 , 201 , 135 , 99 , 95 , 11 
5, 30 , 189 , 140 , 97 , 94 , 10 
5, 31 , 203 , 159 , 99 , 102 , 11 
5, 32 , 180 , 137 , 92 , 95 , 12 
5, 33 , 183 , 137 , 91 , 90 , 12 
5, 34 , 193 , 138 , 97 , 93 , 12 
5, 35 , 184 , 129 , 92 , 99 , 9 
5, 36 , 174 , 121 , 88 , 105 , 9 
5, 37 , 177 , 130 , 98 , 103 , 11 
5, 38 , 190 , 152 , 92 , 94 , 8 
5, 39 , 188 , 149 , 89 , 96 , 10 
5, 40 , 184 , 138 , 96 , 87 , 12 
5, 41 , 178 , 132 , 90 , 85 , 9 
5, 42 , 175 , 130 , 90 , 80 , 10 
5, 43 , 176 , 128 , 83 , 82 , 12 
5, 44 , 170 , 130 , 78 , 88 , 11 
5, 45 , 184 , 146 , 78 , 85 , 10 
5, 46 , 178 , 142 , 87 , 80 , 10 
5, 47 , 171 , 141 , 86 , 81 , 11 
5, 48 , 167 , 132 , 80 , 80 , 11 
5, 49 , 152 , 116 , 78 , 77 , 9 
5, 50 , 159 , 117 , 84 , 83 , 10 
5, 51 , 196 , 160 , 82 , 81 , 11 
5, 52 , 185 , 130 , 81 , 83 , 11 
5, 53 , 189 , 141 , 81 , 79 , 10 
5, 54 , 178 , 125 , 77 , 73 , 12 
5, 55 , 161 , 112 , 72 , 83 , 9 
5, 56 , 154 , 107 , 79 , 72 , 11 
5, 57 , 181 , 148 , 76 , 74 , 8 
5, 58 , 168 , 134 , 78 , 83 , 8 
5, 59 , 144 , 116 , 74 , 80 , 11 
6, -   , 168 , 137 , 78 , 68 , 10 
6, 1 , 237 , 195 , 73 , 71 , 12 
6, 2 , 227 , 195 , 78 , 74 , 11 
6, 3 , 210 , 178 , 72 , 73 , 11 
6, 4 , 228 , 181 , 72 , 76 , 11 
6, 5 , 230 , 183 , 66 , 73 , 11 
6, 6 , 202 , 154 , 77 , 77 , 11 
6, 7 , 193 , 148 , 75 , 73 , 9 
6, 8 , 175 , 146 , 73 , 71 , 10 
6, 9 , 175 , 144 , 68 , 69 , 7 
6, 10 , 172 , 141 , 68 , 64 , 8 
6, 11 , 162 , 120 , 67 , 60 , 8 
6, 12 , 154 , 114 , 72 , 62 , 7 
6, 13 , 150 , 115 , 72 , 68 , 10 
6, 14 , 175 , 140 , 74 , 59 , 9 
6, 15 , 190 , 157 , 69 , 65 , 10 
6, 16 , 166 , 136 , 77 , 74 , 10 
6, 17 , 152 , 122 , 73 , 66 , 8 
6, 18 , 148 , 112 , 63 , 68 , 11 
6, 19 , 150 , 113 , 77 , 70 , 8 
6, 20 , 140 , 118 , 72 , 66 , 7 
6, 21 , 152 , 119 , 69 , 65 , 9 
6, 22 , 141 , 111 , 66 , 70 , 7 
6, 23 , 143 , 109 , 70 , 72 , 9 
6, 24 , 134 , 111 , 65 , 63 , 11 
6, 25 , 144 , 110 , 76 , 72 , 9 
6, 26 , 139 , 117 , 71 , 69 , 10 
6, 27 , 149 , 127 , 71 , 69 , 9 
6, 28 , 143 , 109 , 69 , 69 , 7 
6, 29 , 148 , 99 , 66 , 65 , 9 
6, 30 , 141 , 108 , 61 , 71 , 10 
6, 31 , 142 , 115 , 59 , 68 , 8 
6, 32 , 140 , 99 , 64 , 61 , 9 
6, 33 , 146 , 112 , 65 , 59 , 9 
6, 34 , 146 , 106 , 66 , 64 , 8 
6, 35 , 141 , 105 , 69 , 59 , 9 
