hour,minute,desktop,smartphone,tablet,other
7, 24 , 406 , 383 , 659 , 16 
7, 25 , 381 , 392 , 723 , 15 
7, 26 , 393 , 391 , 674 , 14 
7, 27 , 408 , 388 , 674 , 17 
7, 28 , 409 , 418 , 668 , 13 
7, 29 , 426 , 399 , 643 , 14 
7, 30 , 437 , 414 , 666 , 15 
7, 31 , 442 , 414 , 666 , 16 
7, 32 , 428 , 412 , 669 , 12 
7, 33 , 427 , 411 , 646 , 14 
7, 34 , 433 , 401 , 647 , 16 
7, 35 , 424 , 404 , 664 , 15 
7, 36 , 430 , 427 , 649 , 17 
7, 37 , 442 , 428 , 652 , 19 
7, 38 , 444 , 417 , 674 , 17 
7, 39 , 461 , 431 , 654 , 19 
7, 40 , 460 , 431 , 660 , 17 
7, 41 , 465 , 420 , 660 , 16 
7, 42 , 479 , 443 , 670 , 17 
7, 43 , 484 , 439 , 650 , 14 
7, 44 , 489 , 460 , 667 , 16 
7, 45 , 488 , 450 , 661 , 17 
7, 46 , 476 , 454 , 630 , 17 
7, 47 , 509 , 430 , 644 , 16 
7, 48 , 512 , 449 , 650 , 16 
7, 49 , 525 , 435 , 644 , 17 
7, 50 , 510 , 432 , 657 , 16 
7, 51 , 529 , 431 , 625 , 18 
7, 52 , 543 , 421 , 629 , 19 
7, 53 , 539 , 450 , 626 , 16 
7, 54 , 544 , 439 , 610 , 15 
7, 55 , 557 , 438 , 612 , 16 
7, 56 , 563 , 425 , 611 , 16 
7, 57 , 577 , 436 , 569 , 18 
7, 58 , 568 , 431 , 580 , 17 
7, 59 , 564 , 418 , 589 , 16 
8, -   , 563 , 435 , 565 , 17 
8, 1 , 563 , 427 , 572 , 18 
8, 2 , 575 , 437 , 579 , 17 
8, 3 , 611 , 426 , 572 , 20 
8, 4 , 612 , 411 , 560 , 16 
8, 5 , 595 , 411 , 542 , 17 
8, 6 , 623 , 438 , 553 , 18 
8, 7 , 610 , 422 , 548 , 19 
8, 8 , 630 , 416 , 562 , 18 
8, 9 , 641 , 423 , 550 , 19 
8, 10 , 643 , 448 , 548 , 20 
8, 11 , 657 , 421 , 542 , 20 
8, 12 , 669 , 443 , 545 , 19 
8, 13 , 674 , 426 , 564 , 16 
8, 14 , 671 , 425 , 564 , 15 
8, 15 , 686 , 425 , 549 , 15 
8, 16 , 702 , 443 , 536 , 16 
8, 17 , 706 , 434 , 544 , 17 
8, 18 , 698 , 435 , 523 , 17 
8, 19 , 703 , 423 , 525 , 16 
8, 20 , 729 , 421 , 523 , 17 
8, 21 , 734 , 417 , 531 , 18 
8, 22 , 756 , 419 , 521 , 17 
8, 23 , 788 , 416 , 524 , 19 
8, 24 , 777 , 409 , 502 , 18 
8, 25 , 760 , 421 , 514 , 18 
8, 26 , 792 , 411 , 522 , 19 
8, 27 , 788 , 411 , 507 , 17 
8, 28 , 800 , 398 , 511 , 16 
8, 29 , 818 , 406 , 510 , 19 
8, 30 , 783 , 399 , 480 , 21 
8, 31 , 804 , 415 , 482 , 20 
8, 32 , 797 , 394 , 474 , 20 
8, 33 , 798 , 391 , 477 , 20 
8, 34 , 803 , 376 , 483 , 17 
8, 35 , 820 , 387 , 467 , 21 
8, 36 , 822 , 382 , 466 , 20 
8, 37 , 838 , 377 , 481 , 17 
8, 38 , 839 , 366 , 462 , 19 
8, 39 , 828 , 359 , 476 , 20 
8, 40 , 833 , 370 , 449 , 16 
8, 41 , 852 , 379 , 439 , 17 
8, 42 , 866 , 354 , 435 , 17 
8, 43 , 854 , 365 , 429 , 19 
8, 44 , 859 , 365 , 419 , 18 
8, 45 , 880 , 372 , 425 , 18 
8, 46 , 876 , 358 , 426 , 22 
8, 47 , 885 , 355 , 411 , 18 
8, 48 , 903 , 345 , 416 , 19 
8, 49 , 890 , 349 , 407 , 18 
8, 50 , 898 , 333 , 394 , 16 
8, 51 , 896 , 339 , 370 , 16 
8, 52 , 911 , 333 , 378 , 18 
8, 53 , 905 , 325 , 369 , 18 
8, 54 , 926 , 314 , 367 , 17 
8, 55 , 917 , 322 , 358 , 17 
8, 56 , 907 , 306 , 365 , 21 
8, 57 , 947 , 294 , 375 , 16 
8, 58 , 933 , 309 , 365 , 14 
8, 59 , 931 , 300 , 369 , 17 
9, -   , 945 , 296 , 349 , 16 
9, 1 , 957 , 278 , 347 , 15 
9, 2 , 968 , 289 , 340 , 15 
9, 3 , 958 , 290 , 323 , 16 
9, 4 , 957 , 270 , 334 , 11 
9, 5 , 966 , 262 , 332 , 10 
9, 6 , 971 , 262 , 319 , 12 
9, 7 , 979 , 264 , 331 , 14 
9, 8 , 993 , 273 , 316 , 10 
9, 9 , 976 , 260 , 316 , 13 
9, 10 , 984 , 263 , 310 , 10 
9, 11 , 983 , 255 , 295 , 12 
9, 12 , 987 , 240 , 304 , 12 
9, 13 , 985 , 241 , 293 , 12 
9, 14 ," 1,008 ", 240 , 290 , 10 
9, 15 , 982 , 225 , 289 , 11 
9, 16 , 998 , 238 , 278 , 11 
9, 17 ," 1,008 ", 227 , 279 , 8 
9, 18 ," 1,007 ", 223 , 282 , 10 
9, 19 , 975 , 230 , 269 , 10 
9, 20 , 995 , 212 , 273 , 10 
9, 21 ," 1,008 ", 230 , 275 , 10 
9, 22 , 998 , 205 , 270 , 9 
9, 23 , 983 , 202 , 266 , 9 
9, 24 ," 1,009 ", 192 , 263 , 9 
9, 25 ," 1,007 ", 199 , 268 , 10 
9, 26 ," 1,005 ", 196 , 259 , 9 
9, 27 ," 1,026 ", 201 , 275 , 11 
9, 28 ," 1,024 ", 199 , 257 , 11 
9, 29 ," 1,003 ", 193 , 257 , 12 
9, 30 , 987 , 193 , 254 , 10 
9, 31 , 990 , 187 , 245 , 11 
9, 32 , 994 , 204 , 245 , 13 
9, 33 , 996 , 182 , 230 , 10 
9, 34 ," 1,003 ", 184 , 238 , 10 
9, 35 ," 1,010 ", 185 , 242 , 7 
9, 36 ," 1,021 ", 185 , 239 , 10 
9, 37 , 982 , 174 , 233 , 8 
9, 38 , 986 , 176 , 216 , 9 
9, 39 , 973 , 174 , 217 , 11 
9, 40 , 960 , 165 , 219 , 8 
9, 41 , 988 , 179 , 211 , 9 
9, 42 , 977 , 178 , 211 , 10 
9, 43 , 961 , 168 , 214 , 9 
9, 44 , 947 , 172 , 218 , 10 
9, 45 , 933 , 174 , 210 , 9 
9, 46 , 942 , 157 , 199 , 10 
9, 47 , 930 , 166 , 200 , 8 
9, 48 , 941 , 163 , 202 , 8 
9, 49 , 929 , 161 , 195 , 9 
9, 50 , 922 , 157 , 208 , 10 
9, 51 , 922 , 156 , 207 , 10 
9, 52 , 922 , 158 , 200 , 6 
9, 53 , 929 , 156 , 196 , 7 
9, 54 , 915 , 139 , 205 , 8 
9, 55 , 902 , 138 , 192 , 9 
9, 56 , 922 , 139 , 200 , 6 
9, 57 , 906 , 142 , 199 , 8 
9, 58 , 893 , 143 , 204 , 10 
9, 59 , 887 , 144 , 184 , 8 
10, -   , 892 , 145 , 165 , 7 
10, 1 , 917 , 136 , 176 , 7 
10, 2 , 910 , 136 , 188 , 7 
10, 3 , 901 , 140 , 172 , 8 
10, 4 , 885 , 137 , 172 , 6 
10, 5 , 889 , 128 , 170 , 8 
10, 6 , 899 , 128 , 175 , 9 
10, 7 , 886 , 128 , 173 , 8 
10, 8 , 884 , 141 , 174 , 6 
10, 9 , 892 , 132 , 174 , 9 
10, 10 , 886 , 141 , 171 , 10 
10, 11 , 894 , 128 , 153 , 9 
10, 12 , 895 , 138 , 162 , 8 
10, 13 , 914 , 125 , 176 , 7 
10, 14 , 908 , 130 , 166 , 7 
10, 15 , 925 , 131 , 178 , 8 
10, 16 , 925 , 128 , 164 , 5 
10, 17 , 915 , 131 , 160 , 8 
10, 18 , 922 , 126 , 154 , 8 
10, 19 , 927 , 132 , 169 , 9 
10, 20 , 893 , 124 , 159 , 8 
10, 21 , 931 , 126 , 160 , 7 
10, 22 , 901 , 119 , 157 , 8 
10, 23 , 925 , 129 , 156 , 8 
10, 24 , 920 , 129 , 158 , 9 
10, 25 , 906 , 132 , 150 , 7 
10, 26 , 926 , 127 , 136 , 7 
10, 27 , 921 , 120 , 145 , 6 
10, 28 , 909 , 129 , 154 , 6 
